respID,qID,altID,obsID,price,modelyear,powertrain,brand,Warranty,range,Mileage,ChargingStation,powertrain_Electric,powertrain_Gas,image
1,1,1,1,23000,5,Electric,Mercedes,Yes,100,18000,discounted,1,0,MB_EQ.jpg
1,1,2,1,13000,1,Gas,Tesla,Yes,250,23000,NA,0,1,Tesla_Model_3.jpg
1,2,1,2,21000,1,Electric,Nissan,Yes,150,23000,paid,1,0,Nissan_Leaf.jpg
1,2,2,2,24000,3,Gas,Mercedes,No,100,39000,NA,0,1,MB_C300.jpg
1,3,1,3,23000,3,Electric,Nissan,Yes,200,39000,discounted,1,0,Nissan_Leaf.jpg
1,3,2,3,42000,2,Gas,Tesla,Yes,100,31000,NA,0,1,Tesla_Model_3.jpg
1,4,1,4,20000,1,Electric,Nissan,No,150,32000,discounted,1,0,Nissan_Leaf.jpg
1,4,2,4,21000,1,Gas,Mercedes,No,200,25000,NA,0,1,MB_C300.jpg
2,1,1,5,27000,3,Electric,Nissan,Yes,200,21000,discounted,1,0,Nissan_Leaf.jpg
2,1,2,5,48000,2,Gas,Mercedes,No,100,40000,NA,0,1,MB_C300.jpg
2,2,1,6,20000,5,Electric,Mercedes,Yes,200,23000,free,1,0,MB_EQ.jpg
2,2,2,6,19000,5,Gas,Mercedes,Yes,100,37000,NA,0,1,MB_C300.jpg
2,3,1,7,31000,5,Electric,Tesla,No,150,38000,discounted,1,0,Tesla_Model_3.jpg
2,3,2,7,40000,1,Gas,Mercedes,Yes,250,27000,NA,0,1,MB_C300.jpg
2,4,1,8,29000,5,Electric,Tesla,Yes,100,12000,paid,1,0,Tesla_Model_3.jpg
2,4,2,8,33000,5,Gas,Nissan,Yes,150,28000,NA,0,1,Nissan_Gas.jpg
3,1,1,9,12000,4,Electric,Nissan,Yes,150,28000,discounted,1,0,Nissan_Leaf.jpg
3,1,2,9,12000,4,Gas,Tesla,No,100,43000,NA,0,1,Tesla_Model_3.jpg
3,2,1,10,31000,5,Electric,Tesla,No,250,35000,discounted,1,0,Tesla_Model_3.jpg
3,2,2,10,8000,1,Gas,Tesla,Yes,100,9000,NA,0,1,Tesla_Model_3.jpg
3,3,1,11,35000,1,Electric,Nissan,Yes,100,12000,paid,1,0,Nissan_Leaf.jpg
3,3,2,11,47000,1,Gas,Tesla,No,250,9000,NA,0,1,Tesla_Model_3.jpg
3,4,1,12,11000,2,Electric,Nissan,Yes,100,16000,paid,1,0,Nissan_Leaf.jpg
3,4,2,12,43000,1,Gas,Nissan,Yes,100,19000,NA,0,1,Nissan_Gas.jpg
4,1,1,13,11000,5,Electric,Mercedes,Yes,200,43000,free,1,0,MB_EQ.jpg
4,1,2,13,16000,2,Gas,Mercedes,No,250,33000,NA,0,1,MB_C300.jpg
4,2,1,14,28000,3,Electric,Nissan,No,100,35000,paid,1,0,Nissan_Leaf.jpg
4,2,2,14,27000,1,Gas,Mercedes,Yes,250,47000,NA,0,1,MB_C300.jpg
4,3,1,15,8000,3,Electric,Mercedes,No,200,6000,paid,1,0,MB_EQ.jpg
4,3,2,15,7000,2,Gas,Mercedes,No,150,5000,NA,0,1,MB_C300.jpg
4,4,1,16,45000,1,Electric,Mercedes,Yes,100,15000,free,1,0,MB_EQ.jpg
4,4,2,16,9000,5,Gas,Mercedes,No,250,44000,NA,0,1,MB_C300.jpg
5,1,1,17,27000,2,Electric,Mercedes,Yes,200,19000,paid,1,0,MB_EQ.jpg
5,1,2,17,33000,3,Gas,Tesla,Yes,100,39000,NA,0,1,Tesla_Model_3.jpg
5,2,1,18,32000,3,Electric,Tesla,No,150,36000,free,1,0,Tesla_Model_3.jpg
5,2,2,18,50000,2,Gas,Mercedes,Yes,250,43000,NA,0,1,MB_C300.jpg
5,3,1,19,49000,2,Electric,Nissan,No,250,18000,discounted,1,0,Nissan_Leaf.jpg
5,3,2,19,22000,3,Gas,Mercedes,No,100,20000,NA,0,1,MB_C300.jpg
5,4,1,20,11000,5,Electric,Tesla,No,100,30000,paid,1,0,Tesla_Model_3.jpg
