respID,qID,altID,obsID,price,fuelEconomy,modelyear,powertrain,Warranty,range,Mileage,ChargingStation,powertrain_Electric,powertrain_Gas
1,1,1,1,30000,15,2016,Gas,Yes,0,20000,No Promotion,0,1
1,1,2,1,20000,30,2019,Gas,No,0,40000,No Promotion,0,1
1,1,3,1,50000,0,2015,Electric,No,150,15000,Discounted,1,0
1,2,1,2,40000,0,2019,Electric,Yes,150,50000,Discounted,1,0
1,2,2,2,30000,15,2018,Gas,No,0,5000,No Promotion,0,1
1,2,3,2,35000,15,2016,Gas,Yes,0,35000,No Promotion,0,1
1,3,1,3,40000,0,2019,Electric,No,250,30000,No Promotion,1,0
1,3,2,3,10000,0,2019,Electric,No,200,40000,Free,1,0
1,3,3,3,25000,0,2015,Electric,Yes,150,45000,Discounted,1,0
1,4,1,4,40000,15,2019,Gas,No,0,40000,No Promotion,0,1
1,4,2,4,35000,15,2016,Gas,Yes,0,45000,No Promotion,0,1
1,4,3,4,15000,0,2020,Electric,Yes,100,25000,Discounted,1,0
2,1,1,5,30000,0,2016,Electric,No,150,5000,No Promotion,1,0
2,1,2,5,10000,0,2018,Electric,Yes,200,50000,Free,1,0
2,1,3,5,15000,0,2015,Electric,No,150,45000,No Promotion,1,0
2,2,1,6,50000,25,2019,Gas,No,0,30000,No Promotion,0,1
2,2,2,6,45000,30,2020,Gas,Yes,0,5000,No Promotion,0,1
2,2,3,6,40000,30,2015,Gas,No,0,15000,No Promotion,0,1
2,3,1,7,20000,0,2019,Electric,No,250,20000,No Promotion,1,0
2,3,2,7,35000,20,2016,Gas,Yes,0,40000,No Promotion,0,1
2,3,3,7,35000,0,2020,Electric,Yes,200,20000,Free,1,0
2,4,1,8,10000,25,2019,Gas,Yes,0,50000,No Promotion,0,1
2,4,2,8,50000,0,2016,Electric,No,150,10000,Free,1,0
2,4,3,8,10000,0,2019,Electric,Yes,200,35000,No Promotion,1,0
3,1,1,9,50000,0,2019,Electric,Yes,150,20000,No Promotion,1,0
3,1,2,9,15000,30,2017,Gas,Yes,0,35000,No Promotion,0,1
3,1,3,9,25000,35,2017,Gas,No,0,25000,No Promotion,0,1
3,2,1,10,45000,30,2016,Gas,Yes,0,50000,No Promotion,0,1
3,2,2,10,20000,30,2019,Gas,No,0,10000,No Promotion,0,1
3,2,3,10,35000,35,2017,Gas,Yes,0,35000,No Promotion,0,1
3,3,1,11,25000,0,2015,Electric,Yes,250,40000,Discounted,1,0
3,3,2,11,35000,0,2018,Electric,Yes,150,15000,Discounted,1,0
3,3,3,11,20000,25,2020,Gas,No,0,45000,No Promotion,0,1
3,4,1,12,45000,0,2016,Electric,Yes,150,30000,Free,1,0
3,4,2,12,35000,0,2015,Electric,Yes,250,5000,No Promotion,1,0
3,4,3,12,20000,35,2020,Gas,No,0,30000,No Promotion,0,1
4,1,1,13,10000,15,2020,Gas,Yes,0,5000,No Promotion,0,1
4,1,2,13,15000,30,2017,Gas,Yes,0,20000,No Promotion,0,1
4,1,3,13,30000,20,2015,Gas,No,0,5000,No Promotion,0,1
4,2,1,14,30000,0,2017,Electric,Yes,200,45000,Free,1,0
4,2,2,14,35000,0,2017,Electric,No,250,45000,Discounted,1,0
4,2,3,14,45000,15,2018,Gas,Yes,0,30000,No Promotion,0,1
4,3,1,15,35000,25,2017,Gas,Yes,0,35000,No Promotion,0,1
4,3,2,15,40000,0,2018,Electric,No,150,35000,Free,1,0
4,3,3,15,50000,30,2018,Gas,Yes,0,40000,No Promotion,0,1
4,4,1,16,10000,0,2019,Electric,No,100,30000,No Promotion,1,0
4,4,2,16,10000,0,2020,Electric,Yes,200,45000,Free,1,0
